nombre,marca,precio,imagen
"Deslanador de Pelo Largo para Perros Raza Grande, Azul",Furminator,$759.00,https://www.petco.com.mx/medias/101790.jpg-300ftw?context=bWFzdGVyfHJvb3R8MzA4OTl8aW1hZ2UvanBlZ3xhREJsTDJneU9DOHhNRFV3TnpNNU1URTNNall6T0M4eE1ERTNPVEF1YW5Cblh6TXdNR1owZHd8YmZkY2FlNTQ0NWIwNDgyZjI2NTg3ZTYwNmRmMjk1MDA5ZjU4YjAwMjIwMjVmOGE2YzcyMzFjYWU2ZDQxYTQ0OQ
"Deslanador de Pelo Corto para Perros Raza Mediana, Naranja",Furminator,$699.00,https://www.petco.com.mx/medias/101798.jpg-300ftw?context=bWFzdGVyfHJvb3R8MzM2OTd8aW1hZ2UvanBlZ3xhREU1TDJnNVlpOHhNRFV3TnpNNU5ERXlNVGMxT0M4eE1ERTNPVGd1YW5Cblh6TXdNR1owZHd8ZjBiZTBkOWQ2MjFhNWI2ZjE3Yjk0NGQ4YzhlNWVjNGJjYmM2OWU3MGQ1OTFmNmIwOGQ2NWIyZmY3OTE0YWU1MQ
"Espuma Baño en Seco para Perro y Gato, 400 ml",Vetriderm,Sin precio,https://www.petco.com.mx/medias/111818.jpg-300ftw?context=bWFzdGVyfHJvb3R8Mjg1MTh8aW1hZ2UvanBlZ3xhREV5TDJobVlTOHhNRFUwTmpZNE9UazJOakV4TUM4eE1URTRNVGd1YW5Cblh6TXdNR1owZHd8YTcwNWU3ZTU2ODMyYzIwMTA2MGExZmU2Y2M1ZDAxODQ4NjkwMTk0MGYxOTY3ZGI5ZjMzMmFmNTkzYmY3YWZmYg
"Toallitas Húmedas Hipoalergénicas Deodorizantes para Perro/Gato sin Fragancia, 100 Piezas",Tropiclean,$229.00,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w1MDQxNnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnNVlpOW9aRGd2T1RRME5Ua3lPRGs1TWpjNU9DNXFjR2N8MTk5NWMzOWMyMDliNTMyY2YxODY5YjgzYWY5ZjUyY2RhMTVlOTg2OWUxNTRmNjVhYjU4ZTY5ZGJmMjZjYWEzMA
"Toallitas Húmedas Limpiadoras para Perro y Gato, 100 Piezas",Royal Pow,$169.00,https://www.petco.com.mx/medias/141983.jpg-300ftw?context=bWFzdGVyfHJvb3R8MTA0OTl8aW1hZ2UvanBlZ3xhRGcyTDJnM09TOHhNRFEwT0RJeE56UTBNREk0Tmk4eE5ERTVPRE11YW5Cblh6TXdNR1owZHd8YmYzNjFlMjIzMzU5NmI3N2MzNDQ0NmQ5NjFjZGQ3Mzk0YWZhNzQ4MTUyYmRiZjVmNjU0MTU1NTUzZmIxY2VmYg
"Toallitas Húmedas Deodorizantes Limpieza Profunda para Perro/Gato Aroma Moras y Coco, 100 Piezas",Tropiclean,$229.00,https://www.petco.com.mx/medias/129797.jpg-300ftw?context=bWFzdGVyfHJvb3R8NTIwNDl8aW1hZ2UvanBlZ3xhRGRrTDJoak1TOHhNREE1T0RnME5EUXdNVFk1TkM4eE1qazNPVGN1YW5Cblh6TXdNR1owZHd8MjBhNzMyOWVkOTFmOTJkZjFiNzZjYTA3NmJkZmE2Y2FjNWUyOWRlYTZkOGVhZDFmOGQ0YWQxMTA2NzA2MjJiOQ
Spray Desenredante para Perro y Gato,Tropiclean,$259.00,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w1NjQzNHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoaE1DOW9OV0V2T1RReE9USTRNamMzTmpBNU5DNXFjR2N8NGYwZmQwZGJmZDY1MGIwNjQ3Y2I0MmFkMzJjNTcyOTI0MjVkNDMzZjRiZmQ3OTU5NTZkNWVkMjI0NDBiOThiMw
Colonia con Aroma a Talco para Perro y Gato,Tropiclean,$199.00,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w0MzIxNXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnM1l5OW9NR1V2T1RReE9USTRORFl4TVRFd01pNXFjR2N8YjQyNDkxZDA4Y2I1OTkxNGViYjgzOGYyZjRjNDM1MWMwYTYyOWQ0NTQyOTVlZWU1OTU1ODViMWZiZjg2NGVmNA
"Dog Balm Bálsamo Hidratante para Piel Patitas y Nariz para Perro, 50 g",Dogelthy,Sin precio,https://www.petco.com.mx/medias/300ftw-144624.jpg?context=bWFzdGVyfHJvb3R8Mzc4Mzl8aW1hZ2UvanBlZ3xhR0ZpTDJnMVlpOHhNVEkyT1RBeU16VXpNVEF6T0M4ek1EQm1kSGRmTVRRME5qSTBMbXB3Wnd8M2VmODE3ZDQ2MzIyNjkxMTRlMmRmMTc4YmRjZmU1NTgwZTM3MjFhY2ViOTFhMzNhNGQ1MDdlMmM3YzdlZjRlMA
"Crema Bloqueadora Solar e Hidratante para Perro y Gato, 225 g",Saha Can,Sin precio,https://www.petco.com.mx/medias/300ftw-136388.jpg?context=bWFzdGVyfHJvb3R8NDI1ODF8aW1hZ2UvanBlZ3xhRGMwTDJnMFpTOHhNVE16TnpRNE56Z3hNRFU1TUM4ek1EQm1kSGRmTVRNMk16ZzRMbXB3Wnd8NmMzNDgzOTUxOTk4NWFkMDI0MzhiNWRhOWU5OWU0MzNlMDcxY2QyYTM0YWExNjhlMzU3YjY2OTE2OGQ1ZDk5OQ
