nombre,marca,precio,imagen
"Alimento Húmedo para Perro Adulto Todas las Razas Receta Pollo, 385 g",Royal Canin,Sin precio,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w1MTA3OHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoa1pDOW9ZalV2T1RNMU16UXhOelUxTlRrNU9DNXFjR2N8OThlNmZmYjMwODBjNTQ4ZTdlZDgwOTA2NWIyNTVlNjgxZjA3ZDUzMWVmMGJiMDE5M2M3NDRkYjZiYTBmNTI2OA
"Alimento Natural Húmedo para Perro Todas las Edades Receta Cordero/Res/Camote, 354 g",Livelong Healthy & Strong,Sin precio,https://www.petco.com.mx/medias/110562.jpg-300ftw?context=bWFzdGVyfHJvb3R8ODc5ODh8aW1hZ2UvanBlZ3xhR1l4TDJoalpTOHhNRFUzTURnMU5UVTNPVFkzT0M4eE1UQTFOakl1YW5Cblh6TXdNR1owZHd8OGI3ZDhkZjA1Mjc4NTBmZTYzYmMwODNiMzNiZDYzOGIzZTllN2ZiMDc1MGZmMDJmNzQxOThlZGJjNGM2M2ZkOQ
"Alimento Natural Húmedo para Perro Todas las Edades Receta Salmón/Camote, 354 g",Livelong Healthy & Strong,Sin precio,https://www.petco.com.mx/medias/300ftw-110561.jpg?context=bWFzdGVyfHJvb3R8NjYwMTd8aW1hZ2UvanBlZ3xhR1ZsTDJnelpTOHhNVE13TnpnME5qVTVPRFk0Tmk4ek1EQm1kSGRmTVRFd05UWXhMbXB3Wnd8M2Y5OTMyMzdlMzA0OTljMDVhOWQ2N2E4ZTg0YjBiN2I3ZDhjYjc2YzdhMjNlMTQ4MWQyYTVhMDcxYjRkNDY4Mw
"Alimento Húmedo en Lata Proteína Hidrolizada para Perro Adulto, 390 g",Royal Canin Veterinary Diet,Sin precio,https://www.petco.com.mx/medias/104903.jpg-300ftw?context=bWFzdGVyfHJvb3R8NTU1NjF8aW1hZ2UvanBlZ3xhR0prTDJoak1pOHhNRFUxTlRZek56RXpOelF6T0M4eE1EUTVNRE11YW5Cblh6TXdNR1owZHd8NzBhNjk1ZmU0YjA2ZjAxZjhiNzBjM2Q4OWIwMTRkZTYyOTY2OWYyYWQyZjM0YTU3Zjk3MzgxMzNlY2QxMzBhZQ
"Healthy Cuisine Alimento Tipo Estofado para Perro Adulto Receta Pollo, 354 g",Hill's Science Diet,$115.00,https://www.petco.com.mx/medias/300ftw-121681.jpg?context=bWFzdGVyfHJvb3R8Nzg0Nzd8aW1hZ2UvanBlZ3xhREkzTDJoa05DOHhNVFEyTWpBeE9UZzNORGcwTmk4ek1EQm1kSGRmTVRJeE5qZ3hMbXB3Wnd8OTdiYzE4NmJiODIyMDZjMjFhMTYyNzEyODc0YjI4YzY5NmFkZDQ2YTg4MmZjNzdiNzJmMWVlNTM1NmI2Mzg4NA
"Adult 7+ Essentials Alimento Húmedo Perro Senior Receta Res y Arroz, 368 g",Pro Plan,Sin precio,https://www.petco.com.mx/medias/300ftw-121269.jpg?context=bWFzdGVyfHJvb3R8MTM2MjJ8aW1hZ2UvanBlZ3xhRGN6TDJnNFpTOHhNVEl6T1RrNE5qZzFOVGsyTmk4ek1EQm1kSGRmTVRJeE1qWTVMbXB3Wnd8Y2U1YjA3YThkYjg1MTAzYmRlM2VlMmQyYmY3MDUxZmExZjM5YzUzNDg3MTA3NTNmNzNiZjZhMWQyMGZjZDY1YQ
"Essentials Alimento Húmedo para Perro Adulto Receta Pollo y Arroz, 368 g",Pro Plan,Sin precio,https://www.petco.com.mx/medias/300ftw-121268.jpg?context=bWFzdGVyfHJvb3R8MTM4Mzd8aW1hZ2UvanBlZ3xhRE5tTDJnNE9TOHhNVEl6T1RrNE5ESXpORFV5Tmk4ek1EQm1kSGRmTVRJeE1qWTRMbXB3Wnd8NzYwNDQ3MjU3YzQzZGE4ODIzMDg0YWUwODkwYmM3ODEwNDFmYTVlM2JlNTczZWNjYTgwYWIxZTJiMDFlOWFmZQ
"7+ Alimento Húmedo para Perro Senior Todas las Razas Receta Pollo, 370 g",Hill's Science Diet,$115.00,https://www.petco.com.mx/medias/300ftw-105252.jpg?context=bWFzdGVyfHJvb3R8ODAzNzB8aW1hZ2UvanBlZ3xhR1l4TDJnMFlpOHhNVFExT0RVd01ESTJNemsyTmk4ek1EQm1kSGRmTVRBMU1qVXlMbXB3Wnd8MzA2MzI2YzY4ODU4Y2Y5MjI0NWFkZDFiZDc0ZjVlNjA0MGFlOWU5OGUyMDIxZWEwZjMzNjYyOWY4NWZmMmNiNQ
"Alimento Natural Húmedo para Perro Todas las Edades Receta Pollo/Camote, 354 g",Livelong Healthy & Strong,Sin precio,https://www.petco.com.mx/medias/300ftw-110563.jpg?context=bWFzdGVyfHJvb3R8NjkyNjl8aW1hZ2UvanBlZ3xhRFkyTDJneE1TOHhNVEV3T0RVek16azJNRGN6TkM4ek1EQm1kSGRmTVRFd05UWXpMbXB3Wnd8MGM5ZGY1NmIzMTg0ZDFmYjkyNTFmMmVhMWE2MmRkZTE2ZmQ3ZWQ4MmM3YWZhNzU5YTBjYWFiZGM3NmMyNDcwNQ
"Alimento Húmedo para Recuperación para Perro y Gato, 145 g",Royal Canin Veterinary Diet,Sin precio,https://www.petco.com.mx/medias/104811.jpg-300ftw?context=bWFzdGVyfHJvb3R8MjgwNDJ8aW1hZ2UvanBlZ3xhR014TDJnM01TOHhNRFUxTURnd05Ea3dOakF4TkM4eE1EUTRNVEV1YW5Cblh6TXdNR1owZHd8NTIzM2IwM2MxY2M1YzA0ZTQzMmY4OGUwNGE5NDg3YzliNzkxNTE2ZmU4ZmVjYjhjYjU1MzllMGI0N2RhYTZkMQ
