nombre,marca,precio,imagen
"Impermeable Color Amarillo para Perro, Mediano",Youly,Sin precio,https://www.petco.com.mx/medias/300ftw-111551.jpg?context=bWFzdGVyfHJvb3R8MTQ4NzJ8aW1hZ2UvanBlZ3xhRGt4TDJnME15OHhNVE15T1RFeU5UUXhOams1TUM4ek1EQm1kSGRmTVRFeE5UVXhMbXB3Wnd8MDU1YmFmMTU0YmNlNzkzZDhlNDE2NTc5ZmQ5NjQzMmU4OTg3NTY1ZDUwMmQzMDY1N2QzOTUxM2NkNDdlMGY3Zg
"The Nature Lover Botas de Silicón Color Amarillo para Perro, Chico",Youly,Sin precio,https://www.petco.com.mx/medias/123064.jpg-300ftw?context=bWFzdGVyfHJvb3R8NDEzOTF8aW1hZ2UvanBlZ3xhRGRpTDJnNE9DODVOekk1TlRFNE16QTFNekV3THpFeU16QTJOQzVxY0dkZk16QXdablIzfGI0MjBmNGYzMWEzYmI4MjRjY2Q4OWM0M2YyZTdmMWY4YmM4NTA4ZWVmNzEyZDM0MGZjZjYwOGE3NDA3ZTc0ZTA
"Alforja Baxter para Perro, Grande",Kurgo,"$1,299.00",https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w0NzgzMnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnNFlTOW9NR012T1RRd056QTJOREF4TkRnM09DNXFjR2N8N2U3NjA4ZTE3ZWEwNjFjMjFlM2RiYzk3OGJkMGYzOTA2MDk5NWJiODdmNmFmZDQ1NDlmMGEyMzM1ZDFiODNmMw
"Botas Todo Terreno Color Negro para Perro, Grande",Youly,Sin precio,https://www.petco.com.mx/medias/115242.jpg-300ftw?context=bWFzdGVyfHJvb3R8NjQ2Mzh8aW1hZ2UvanBlZ3xhR1psTDJnd1pTOHhNREkxTlRBeE1UVXhNak0xTUM4eE1UVXlOREl1YW5Cblh6TXdNR1owZHd8MWU4MTFlMjE0NGZmZjAyY2Y1MWE5MjhmNTYxZGMwOGJmMDAyYmU1OTE2OTU0MzZkOTU0ZGU1NTA5M2Q2MDhjYw
"Botas de Caucho Reutilizables e Impermeables para Perro, Chico",PawZ,Sin precio,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w2NjE3MnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnNU5DOW9OMk12T1RRME16ZzNNak13T1RJM09DNXFjR2N8YjI2NGMzYTRkOGM2YTVmZWNmYWU3OWM1YzRjY2Y1ODllMDM5MWE0OGIzYjQwMjViNDdkNjFkZjYwNjVhNDZiOQ
"Alforja Baxter para Perro, Mediano",Kurgo,"$1,299.00",https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w0Nzg5NXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnMk9DOW9NR1l2T1RRd056QTJOVEUyTVRjMU9DNXFjR2N8NzZjYWQyMDlhMTA3Zjc3Njc4NDYxYTFjZWY5OWRlZWNmOTA4NTE3NThiZDZhNzVhMjY2ZjQ2MjRmYzJmMDJiZg
"The Nature Lover Botas de Silicón Color Verde para Perro, Chico",Youly,$399.00,https://www.petco.com.mx/medias/133752.jpg-300ftw?context=bWFzdGVyfHJvb3R8NDQ5OTd8aW1hZ2UvanBlZ3xhREV5TDJneFl5ODVOek0zT0RFM05EVTJOamN3THpFek16YzFNaTVxY0dkZk16QXdablIzfGMyNzUwYmY4ZmM0ZGUwZDUwOTIyM2U5N2NlM2NmOWFmMjBiYWEzZTM1YTc0MTIxNGYxNzQyNDJjYzEwMjE3ODY
"Chaleco Salvavidas de Neopreno Reflejante para Perro, X-Grande",Youly,$399.00,https://www.petco.com.mx/medias/132114.jpg-300ftw?context=bWFzdGVyfHJvb3R8MzU4OTF8aW1hZ2UvanBlZ3xhR0l3TDJneVlTODVOams0TkRVNU9UUXlPVFF5TG1wd1p3fDgzOTA5YzIwODhmNzRiZGVhOGJhMTBmZjc3NDJiNTE0YmY3N2ZhMTZkMmE1ODJiYzVlYmZkYmVkY2YwN2JlMWQ
"Chaleco Salvavidas de Neopreno Reflejante para Perro, Grande",Youly,$399.00,https://www.petco.com.mx/medias/132113.jpg-300ftw?context=bWFzdGVyfHJvb3R8MzU4OTF8aW1hZ2UvanBlZ3xhR1JqTDJobFpDODVOams0TkRJMU1EYzNOemt3TG1wd1p3fDhmNTFkODdmZjdlMzFlMTAyYzFlMmE1MTBiNjRhNDI1MDY5MDlkOGFkZjYxMzkzNDg4ZGMwOTM5MjMwYjU1ZDY
"Chaleco Salvavidas de Neopreno Reflejante para Perro, Mediano",Youly,$399.00,https://www.petco.com.mx/medias/132112.jpg-300ftw?context=bWFzdGVyfHJvb3R8MzU4OTF8aW1hZ2UvanBlZ3xhR05pTDJnNU5TODVOams0TkRJek1URXhOekV3TG1wd1p3fDYyZDdjMjFhN2ZhNTg5ZTNlMGE0MGI5MzUwZWVlZWIwNjAzODhiNTA5MzBiZWExN2ZkNGU1OTEzZTMwMGI5Mjg
