nombre,marca,precio,imagen
"Alimento Seco para Perro Adulto Raza Pequeña, 6.3 kg",Royal Canin,"$1,560.00",https://www.petco.com.mx/medias/300ftw-104870.jpg?context=bWFzdGVyfHJvb3R8NTM2OTh8aW1hZ2UvanBlZ3xhRGxqTDJnek9TOHhNVEkxTkRjeE5UVXhORGt4TUM4ek1EQm1kSGRmTVRBME9EY3dMbXB3Wnd8N2FkMjQ0Nzg2MTUyNzQwODMzODYwZTVjN2VlNjBlODNkY2NlZjZhNmFlZTQzYTNhZTkxYzViNWZmNzdjOWEwOA
"Alimento Seco para Perro Adulto Raza Grande, 13.6 kg",Royal Canin,"$2,900.00",https://www.petco.com.mx/medias/104853.jpg-300ftw?context=bWFzdGVyfHJvb3R8NDgxNzh8aW1hZ2UvanBlZ3xhRFUzTDJobU5TODVPVEUwTkRVek56VXpPRGcyTHpFd05EZzFNeTVxY0dkZk16QXdablIzfDU5Yzk2YWEzYjNiZjA1ZGMxODFmZjA5YTVjZWVlZThhOGE0MzVjYmY3YjU3ZDFjZjMwYzdmYWE4ZTM0OWM0ZjU
"Alimento Seco para Perro Adulto Raza Mediana, 13.6 kg",Royal Canin,"$2,900.00",https://www.petco.com.mx/medias/300ftw-104850.jpg?context=bWFzdGVyfHJvb3R8NTg4NDh8aW1hZ2UvanBlZ3xhRE5oTDJobU1DOHhNVEkxTkRZd09EWTVNVEl6TUM4ek1EQm1kSGRmTVRBME9EVXdMbXB3Wnd8ZWRiMDc3OWU2ODBmMGFmNDA1OTRkODljNzIzNTVkMDdlNzY3M2IzMWQ2ODU0Yjk5ZjhlNWM0NTJlMzZmMjhkOA
"Libre de Granos Alimento Natural para Perro Todas las Edades Receta Res y Chícharo, 18.1 kg",WholeHearted,"$1,350.00",https://www.petco.com.mx/medias/138391.jpg-300ftw?context=bWFzdGVyfHJvb3R8NjU1ODZ8aW1hZ2UvanBlZ3xhR05oTDJnMVlTODVPVGt5TlRRM01EYzBNRGM0THpFek9ETTVNUzVxY0dkZk16QXdablIzfDQ2YmJjZjY4ZGQ3OTEyYmZlOTQ4NjYyODZkMThlMGY5NGFmNjEzYzQ0MGMyNTAxN2ZmMTVhMjRhNDA2M2U0YzA
"Alimento Seco para Cachorro Raza Grande, 13.6 kg",Royal Canin,"$2,900.00",https://www.petco.com.mx/medias/300ftw-104863.jpg?context=bWFzdGVyfHJvb3R8NjU2MjN8aW1hZ2UvanBlZ3xhR0pqTDJnM01DOHhNVEU1TlRZNU56VTVORE01T0M4ek1EQm1kSGRmTVRBME9EWXpMbXB3Wnd8NDc0NTE3NGU2ODBiNmU1YjU2MTk4YzQ3NDkwMGFjNWI3YWUwZmExMDBjZTc1NjFlNDMzMmIwYjdkM2NlYjhhYw
"Libre de Granos Alimento Natural para Perro Todas las Edades Receta Salmón y Chícharo, 11 kg",WholeHearted,Sin precio,https://www.petco.com.mx/medias/122518.jpg-300ftw?context=bWFzdGVyfHJvb3R8NTg4NDl8aW1hZ2UvanBlZ3xhREF3TDJneE5TOHhNREl4TURnM05qWTROak0yTmk4eE1qSTFNVGd1YW5Cblh6TXdNR1owZHd8NzljYThhYWEwNmI0YzZhZThhNmNjM2QwNjg0ZWE4YzM4ZWQ4MGFlYjQzMDAzZjQyOWM1ODc3ZWEzZjZmYmNiZA
"Healthy Benefits Alimento Natural para Perro Adulto Cuidado de Piel/Pelo Receta Salmón y Chícharo, 11.3 kg",WholeHearted,Sin precio,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w1NzUxOHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnd05DOW9NV0V2T1RRd016SXhNakF3TlRRd05pNXFjR2N8MDM1NTgyZDcxY2NmYThmMzJhZmZkNGVjZjQ3MTVlZmQxNTljNjEyZDE2NDc3NGY2MTkzNGZkYTkwYzg4YTQxNQ
"Optihealth Alimento Seco para Perro Adulto Raza Pequeña Receta Pollo, 7.5 kg",Pro Plan,"$1,350.00",https://www.petco.com.mx/medias/300ftw-104566.jpg?context=bWFzdGVyfHJvb3R8MTUxOTZ8aW1hZ2UvanBlZ3xhRE5oTDJnd1ppOHhNVE0wTURRMk1UTXdPVGs0TWk4ek1EQm1kSGRmTVRBME5UWTJMbXB3Wnd8MTMzZjM2MDZhM2ExN2U1NjhlMzhjMGY3MmRlMWQ3ZDEzYWRjODc3OWVkZTA4NDJlZDhiMWUzZmE1NzQyOTE2YQ
"Alimento para Perro Adulto Raza Mediana/Grande Receta Pollo y Res, 20 kg",FullTrust,"$2,665.00",https://www.petco.com.mx/medias/300ftw-123781.jpg?context=bWFzdGVyfHJvb3R8MTA0NjY5fGltYWdlL2pwZWd8YURnekwyZzNNaTh4TVRVd05EQTNOREl5TnpjME1pOHpNREJtZEhkZk1USXpOemd4TG1wd1p3fDJjNGJjZjA3ZjQ3NDJlZDZmMTZjNjBkODExZDBlMzBmOTc3ODM3YmVkMjlmZGM5MzkyNTE0NjIxZDBhNmZmMDE
"Alimento Seco para Perro Adulto Raza Yorkshire Terrier, 4.5 kg",Royal Canin,"$1,425.00",https://www.petco.com.mx/medias/104868.jpg-300ftw?context=bWFzdGVyfHJvb3R8NzIyMjd8aW1hZ2UvanBlZ3xhRGxqTDJnMFlTOHhNREl4TURZd05Ua3lORE00TWk4eE1EUTROamd1YW5Cblh6TXdNR1owZHd8MzcwYmQ2M2M0ZmJhYjY3NTE0OTJmMTY1ODQxOTdlODcxMmY1ODg0NTlkZWNkODE2NDBhM2I1MTczZjJhNzE1Mw
"Alimento Seco para Perro Adulto Raza Chihuahua, 4.5 kg",Royal Canin,"$1,425.00",https://www.petco.com.mx/medias/110333.jpg-300ftw?context=bWFzdGVyfHJvb3R8NDc3MjJ8aW1hZ2UvanBlZ3xhREJrTDJnd01TODVPVEUwTmpjeE1qTTFNVEF5THpFeE1ETXpNeTVxY0dkZk16QXdablIzfDM2ZGRjMDFlNmQzNWRmOTcwNGExMWI3YjkyZTBiNTIxNjdlZmFiMzA0NzY3NzEwYmJmY2EwNWE2M2MzMjRkMWY
"Alimento Seco para Cachorro Raza Mediana, 13.6 kg",Royal Canin,"$2,900.00",https://www.petco.com.mx/medias/300ftw-117287.jpg?context=bWFzdGVyfHJvb3R8MTQyMjJ8aW1hZ2UvanBlZ3xhR0l5TDJoaFpDOHhNVEU1TlRjd016Z3lNRE14T0M4ek1EQm1kSGRmTVRFM01qZzNMbXB3Wnd8ODc0Mjc2M2ZhZTQzMGZlODZjZTg4ZGQ3YzM1NGEyZTY4ODc2OTE0Nzg2MWFiNzhhN2ZiNmE0NGY5NTZlNjEwNA
"Alimento Seco para Perro Adulto Raza Bulldog, 13.6 kg",Royal Canin,"$3,000.00",https://www.petco.com.mx/medias/104869.jpg-300ftw?context=bWFzdGVyfHJvb3R8NTA2MjV8aW1hZ2UvanBlZ3xhR1F5TDJneVlpOHhNREF5TmpnNU5qUTFOemMxT0M4eE1EUTROamt1YW5Cblh6TXdNR1owZHd8NTVjZmM2YTFkMDk5MmU0ZTE1YTk0Zjc0NWVjN2YzODQ1YmE0MzViOGQ3MjFjM2Q0YWQzYjI2ZGI3MDNhMzE4MA
"Alimento Seco para Cachorro Raza Pequeña de 2 a 10 Meses, 6.35 kg",Royal Canin,"$1,560.00",https://www.petco.com.mx/medias/300ftw-104875.jpg?context=bWFzdGVyfHJvb3R8NjY4NDd8aW1hZ2UvanBlZ3xhRFF4TDJoak1TOHhNVEEzT0RjM01qVXlNekF6T0M4ek1EQm1kSGRmTVRBME9EYzFMbXB3Wnd8MGExOGI0ODRjZGNhNWYxYTUzY2Q1ZTFiNzNiNjVjNmM5YTA0ODYxZjM4YmNiNGI0MzQyMDZlMjE1MjgyN2M5Ng
"Alimento Seco para Perro Adulto Raza Shih Tzu, 4.5 kg",Royal Canin,"$1,425.00",https://www.petco.com.mx/medias/118557.jpg-300ftw?context=bWFzdGVyfHJvb3R8NTYxNjR8aW1hZ2UvanBlZ3xhR001TDJoaU1DOHhNREl4TURjM056UTJORGcyTWk4eE1UZzFOVGN1YW5Cblh6TXdNR1owZHd8ODJhOTAwYjMzNjhhNDg2MDQyNjUzM2Y5ZjQxYzNjNWFhZTk4MTk2MDU0MTEwYzA3MjY4OTJmYjM0NTk3OTZiMg
"Optihealth Alimento Seco para Perro Adulto Raza Mediana Receta Pollo y Arroz, 15 kg",Pro Plan,"$2,025.00",https://www.petco.com.mx/medias/300ftw-149344.jpg?context=bWFzdGVyfHJvb3R8MTYzNTV8aW1hZ2UvanBlZ3xhRFJpTDJnMFppOHhNVE0wTURRME9UZ3dPRFF4TkM4ek1EQm1kSGRmTVRRNU16UTBMbXB3Wnd8ZmZiYmY0YWE1YmQ5NmIxYmYzMzMyOGM3Yzg4ZTM2Y2MyNGRiMmY0ZDU4ZGU4Yzg1OThjNzJiNmRkNjc5MjNmMg
"ActivBiome+ Croquetas Para Perro Adulto Razas Pequeñas Y Miniatura, Alimento Para Perros Sabor pollo, 7 kg",Hill's Science Diet,"$1,920.00",https://www.petco.com.mx/medias/300ftw-105266.jpg?context=bWFzdGVyfHJvb3R8NDM2Mzd8aW1hZ2UvanBlZ3xhRE14TDJobFlpOHhNVFEyTWpBd01qVXdOemd3Tmk4ek1EQm1kSGRmTVRBMU1qWTJMbXB3Wnd8NTAxMjhmMDYzZjJiYTc5MWY0Y2NiNDllM2I2YjUyMDFjNGQ4ODkwOTk1ZDg3NWRhMmI5ZjkzZDAxMjIzYjBiMA
"Croquetas para Perro Adulto Raza Mediana Receta Cordero, 14.9 kg",Hill's Science Diet,"$2,950.00",https://www.petco.com.mx/medias/300ftw-105244.jpg?context=bWFzdGVyfHJvb3R8Mjk1NDh8aW1hZ2UvanBlZ3xhRFZoTDJnNE5TOHhNVEk0TWpVNE9UazNORFUxT0M4ek1EQm1kSGRmTVRBMU1qUTBMbXB3Wnd8ZTdlZmM1NmVjYTYzODdlYzExZGMxMzI1YzAyY2UyYjgzMDBkMzMwZjllYzgxMzU5ZDczNTdhY2E1NzQxNTdjMw
"Alimento Seco Proteína Hidrolizada para Perro Adulto, 11.5 kg",Royal Canin Veterinary Diet,Sin precio,https://www.petco.com.mx/medias/104897.jpg-300ftw?context=bWFzdGVyfHJvb3R8NTUwMDF8aW1hZ2UvanBlZ3xhR1kwTDJnMll5OHhNRFUxTURnMU5ETTROVFk1TkM4eE1EUTRPVGN1YW5Cblh6TXdNR1owZHd8MzlmYzc3YTgxMWM1NTA5ZGY3ZGE3ZjNmZGFmZTU1NGE0YTIyNWNlZTBlNWU4ZmYxZjQ0ODY3MGY0MGEwMDQ4Mw
"Bites Croquetas para Perro Senior Raza Pequeña, 6.8 kg",Hill's Science Diet,"$1,920.00",https://www.petco.com.mx/medias/300ftw-105261.jpg?context=bWFzdGVyfHJvb3R8NjQ0MjF8aW1hZ2UvanBlZ3xhREZrTDJneE9DOHhNVFV4TURrM09EVXhNRGczT0M4ek1EQm1kSGRmTVRBMU1qWXhMbXB3Wnd8N2ZlODRhOWVhZGU4ODIzZDBlMjIzODUzZTU1NjRkM2RkZTVjNmUyYjM3YWFiYWYyZjhmN2E2MjExMzEyYzQ1Nw
